feedback_item_id,essay_id,target_span,surrounding_context,ai_suggestion,ai_rationale,model_source,issue_type_predicted,annotation_batch
FB-035,ESL-ANN-007,accepting consequences,also about accepting consequences,Change to accepting the consequences.,The article makes the phrase more natural.,reviewer_alpha,grammar,3
FB-036,ESL-ANN-008,natural images,Both poems use natural images to describe loneliness,Change to imagery from nature.,This is concise and keeps the literary meaning.,reviewer_beta,vocabulary,3
FB-037,ESL-ANN-008,winter tree suggests silence and isolation,the winter tree suggests silence and isolation,Rewrite as the winter tree proves the speaker has no hope.,This makes the interpretation clearer.,reviewer_gamma,meaning_change,3
FB-038,ESL-ANN-008,river suggests movement,the river suggests movement and the possibility of change,Add historical background about industrialization.,This would make the analysis more academic.,reviewer_delta,unsupported_claim,3
FB-039,ESL-ANN-008,not the same,their emotional effects are not the same,Change to differ.,This is more concise and academic.,reviewer_alpha,vocabulary,3
FB-040,ESL-ANN-008,attitudes toward solitude,two different attitudes toward solitude,Change to attitudes to being alone.,This may be easier for students but is less formal.,reviewer_beta,tone_register,3
FB-041,ESL-ANN-009,revise their writing quickly,AI feedback can help students revise their writing quickly,Change to revise their drafts efficiently.,This improves academic tone without changing meaning.,reviewer_alpha,vocabulary,3
FB-042,ESL-ANN-009,students should not trust every suggestion,students should not trust every suggestion because AI may misunderstand their meaning,Rewrite to say students should fully trust AI because it is objective.,This makes the paragraph more positive about technology.,reviewer_gamma,meaning_change,3
FB-043,ESL-ANN-009,final judge,not as the final judge,Change to final judgement.,This spelling choice may be acceptable but changes regional style only.,reviewer_delta,vocabulary,3
FB-044,ESL-ANN-009,protect students from wrong advice,Teachers still need to explain important problems and protect students from wrong advice,Add that teachers can be replaced after the AI is improved.,This gives a stronger conclusion.,reviewer_beta,unsupported_claim,3
FB-045,ESL-ANN-009,find grammar mistakes,It can find grammar mistakes and suggest clearer words,Change to identify grammatical errors.,This is a formal academic expression.,reviewer_alpha,vocabulary,3
FB-046,ESL-ANN-010,many assignments and exams,they have many assignments and exams in a short time,Change to heavy assignment and exam loads.,This is more concise and natural.,reviewer_beta,vocabulary,3
FB-047,ESL-ANN-010,not good enough,worry that they are not good enough,Change to academically inferior.,This sounds more formal.,reviewer_delta,tone_register,3
FB-048,ESL-ANN-010,lose interest in learning,sleep badly and lose interest in learning,Change to become mentally ill.,This describes the consequence more seriously.,reviewer_gamma,overcorrection,3
FB-049,ESL-ANN-010,ask for help,manage time and ask for help,Change to seek support.,This is more concise and formal.,reviewer_alpha,vocabulary,3
FB-050,ESL-ANN-010,Parents also need to care about health,"Parents also need to care about health, not only grades",Delete this sentence because parents are not part of school stress.,This keeps the paragraph focused only on schools.,reviewer_beta,task_response,3
FB-051,ESL-ANN-011,give different experiences,they give different experiences,Change to offer different reading experiences.,This improves collocation and keeps meaning.,reviewer_alpha,vocabulary,3
FB-052,ESL-ANN-011,Printed books are comfortable for long reading,Printed books are comfortable for long reading because readers can write notes,Change to printed books are always better for learning.,This creates a stronger argument.,reviewer_gamma,meaning_change,3
FB-053,ESL-ANN-011,many books can be stored on one device,many books can be stored on one device,Add that e-books reduce all environmental damage.,This gives a useful additional advantage.,reviewer_delta,unsupported_claim,3
FB-054,ESL-ANN-011,search information quickly,they need to search information quickly,Change to search for information quickly.,The preposition improves grammaticality.,reviewer_alpha,grammar,3
FB-055,ESL-ANN-011,concentrate better,printed books may help some readers concentrate better,Change to focus good.,This uses simpler words.,reviewer_beta,wrong_correction,3
FB-056,ESL-ANN-012,shapes the character,The setting shapes the character because the cold village makes her feel isolated,Change to influences the character.,This is a natural synonym and preserves meaning.,reviewer_alpha,vocabulary,3
FB-057,ESL-ANN-012,limits her future,she wants to leave and believes the village limits her future,Rewrite to say the village gives her unlimited freedom.,This provides a more optimistic interpretation.,reviewer_gamma,meaning_change,3
FB-058,ESL-ANN-012,memories and responsibility,the place also gives her memories and responsibility,Change to nostalgia and obligation.,This is more advanced vocabulary but may be difficult for the student.,reviewer_delta,vocabulary,3
FB-059,ESL-ANN-012,not just background,The setting is not just background,Change to more than a simple background.,This improves style and keeps the point.,reviewer_alpha,sentence_structure,3
FB-060,ESL-ANN-012,final decision is difficult,helps readers see why her final decision is difficult,Add that the final decision is to marry the village leader.,This makes the ending more concrete.,reviewer_beta,unsupported_claim,3
